Zipcode,Street,Unit,City,Lat,Long,Block Group
90028,1525 N BRONSON AVE,,Los Angeles,34.09883,-118.31823,060371910002003
90063,540 S BERNAL AVE,,Los Angeles,34.03181,-118.19948,060372041202006
90023,2808 E 12TH ST,,Los Angeles,34.02117,-118.21865,060372051202008
90023,2810 E 12TH ST,,Los Angeles,34.02115,-118.21862,060372051202008
90062,1627 W 56TH ST,,Los Angeles,33.99158,-118.30557,060372325001003
90043,4515 S 3RD AVE,,Los Angeles,34.00219,-118.32049,060372345021005
90035,1477 S CANFIELD AVE,,Los Angeles,34.0528,-118.38967,060372691002004
90015,1287 S UNION AVE,,Los Angeles,34.04492,-118.27708,060372098202003
90063,540 S BERNAL AVE,1/2,Los Angeles,34.03181,-118.19948,060372041202006
90003,6813 S SAN PEDRO ST,,Los Angeles,33.9775,-118.26985,060372393202001
90049,11701 W CHAPARAL ST,,Los Angeles,34.06678,-118.4714,060372623021016
90049,215 N BARRINGTON AVE,,Los Angeles,34.06708,-118.47154,060372623021016
90023,2800 E 12TH ST,,Los Angeles,34.02119,-118.21869,060372051202008
90066,12038 W MITCHELL AVE,,Los Angeles,34.00191,-118.42714,060372723022002
90066,12036 W MITCHELL AVE,,Los Angeles,34.00196,-118.42706,060372723022002
90023,3435 E UNION PACIFIC AVE,,Los Angeles,34.01665,-118.2055,060372051201016
90003,105 W CENTURY BLVD,,Los Angeles,33.94571,-118.27437,060372405002002
90023,2824 E 12TH ST,,Los Angeles,34.02111,-118.2185,060372051202008
90003,6817 S SAN PEDRO ST,,Los Angeles,33.9774,-118.2699,060372393202001
90023,2828 E 12TH ST,,Los Angeles,34.02097,-118.21839,060372051202008
90049,11711 W CHAPARAL ST,,Los Angeles,34.06674,-118.47146,060372623021016
90501,1301 W STORM PKWY,,Los Angeles,33.81706,-118.29917,060372932051009
90046,1860 N BLUE HEIGHTS DR,,Los Angeles,34.10487,-118.37908,060371942002001
90003,6817 S SAN PEDRO ST,1/2,Los Angeles,33.9774,-118.2699,060372393202001
90024,10364 W EASTBORNE AVE,,Los Angeles,34.05881,-118.42389,060372657011018
90025,2140 S GLENDON AVE,,Los Angeles,34.04491,-118.43107,060372672023009
90003,6815 S SAN PEDRO ST,,Los Angeles,33.97746,-118.26985,060372393202001
90025,2138 S GLENDON AVE,,Los Angeles,34.04495,-118.43111,060372672023009
90023,2826 E 12TH ST,,Los Angeles,34.02109,-118.21845,060372051202008
90024,10366 W EASTBORNE AVE,,Los Angeles,34.05876,-118.42394,060372657011018
91606,6006 N KLUMP AVE,,Los Angeles,34.17969,-118.37561,060371242012010
90064,10573 W AYRES AVE,,Los Angeles,34.04283,-118.42148,060372693005005
91402,8016 N WISNER AVE,,Los Angeles,34.21645,-118.46256,060371200102005
91040,10700 N PELUSO AVE,,Los Angeles,34.26395,-118.33529,060371033002000
91606,6002 N KLUMP AVE,,Los Angeles,34.17967,-118.37561,060371242012010
91406,6551 N GAVIOTA AVE,,Los Angeles,34.19008,-118.48168,060371276052003
91405,7649 N VAN NUYS BLVD,,Los Angeles,34.20976,-118.44913,060371272101006
90046,7119 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.34504,060371899041003
90019,1238 S WINDSOR BLVD,,Los Angeles,34.04957,-118.32851,060372128001005
90046,7129 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.34524,060371899041003
90291,2202 S STRONG'S DR,,Los Angeles,33.98462,-118.4691,060372739024013
90046,7127 W SUNSET BLVD,,Los Angeles,34.09815,-118.3452,060371899041003
90046,7121 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.34508,060371899041003
90291,2205 S CANAL ST,,Los Angeles,33.98471,-118.46893,060372739024013
90046,7115 W SUNSET BLVD,,Los Angeles,34.09815,-118.34492,060371899041003
90011,973 E 31ST ST,1/2,Los Angeles,34.01515,-118.25769,060372267021002
90034,3635 S VINTON AVE,1/2,Los Angeles,34.02459,-118.40589,060372699062003
90046,7127 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.3452,060371899041003
90011,969 E 31ST ST,,Los Angeles,34.01518,-118.25775,060372267021002
90015,1031 S LOS ANGELES ST,1/2,Los Angeles,34.03904,-118.25696,060372079021019
90029,4327 W SUNSET BLVD,,Los Angeles,34.09531,-118.2833,060371954002000
90005,832 S ST ANDREWS PL,,Los Angeles,34.05709,-118.31093,060372126202001
90046,7119 W SUNSET BLVD,,Los Angeles,34.09815,-118.34504,060371899041003
90046,7123 W SUNSET BLVD,,Los Angeles,34.09815,-118.34512,060371899041003
90047,6557 S VAN NESS AVE,,Los Angeles,33.97967,-118.31791,060372348004007
90034,3635 S VINTON AVE,,Los Angeles,34.02455,-118.40589,060372699062003
90046,7125 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.34516,060371899041003
90005,838 S ST ANDREWS PL,,Los Angeles,34.05693,-118.31093,060372126202001
90046,7117 W SUNSET BLVD,,Los Angeles,34.09815,-118.34499,060371899041003
90033,2310 E 3RD ST,1/4,Los Angeles,34.04161,-118.21208,060372044202005
90033,2310 E 3RD ST,1/2,Los Angeles,34.04161,-118.21208,060372044202005
90029,4325 W SUNSET BLVD,,Los Angeles,34.09528,-118.28328,060371954002000
90029,4329 W SUNSET BLVD,,Los Angeles,34.09534,-118.28333,060371954002000
90034,10322 W TABOR ST,,Los Angeles,34.02516,-118.40668,060372699062003
90006,1118 S ELDEN AVE,1/2,Los Angeles,34.05022,-118.28757,060372134021004
90033,2310 E 3RD ST,,Los Angeles,34.04161,-118.21208,060372044202005
90011,973 E 31ST ST,,Los Angeles,34.01515,-118.25769,060372267021002
90046,7117 W SUNSET BLVD,1/2,Los Angeles,34.09815,-118.34499,060371899041003
90046,7125 W SUNSET BLVD,,Los Angeles,34.09815,-118.34516,060371899041003
90291,2204 S STRONG'S DR,,Los Angeles,33.98456,-118.46906,060372739024013
90015,1031 S LOS ANGELES ST,,Los Angeles,34.03904,-118.25696,060372079021019
90006,1118 S ELDEN AVE,,Los Angeles,34.05022,-118.28757,060372134021004
90046,7121 W SUNSET BLVD,,Los Angeles,34.09815,-118.34508,060371899041003
90291,1027 E SUPERBA AVE,,Los Angeles,33.99717,-118.45716,060372737003001
90006,1120 S ELDEN AVE,,Los Angeles,34.05018,-118.28757,060372134021004
90046,7129 W SUNSET BLVD,,Los Angeles,34.09815,-118.34524,060371899041003
90029,1277 N WESTERN AVE,,Los Angeles,34.09455,-118.30951,060371909013012
90047,6559 S VAN NESS AVE,,Los Angeles,33.97963,-118.31791,060372348004007
90007,34 W ST JAMES PARK,1/2,Los Angeles,34.03105,-118.28033,060372244202006
90046,7445 W SUNSET BLVD,,Los Angeles,34.09826,-118.35261,060371899052002
91605,13127 W VANOWEN ST,,Los Angeles,34.19408,-118.41915,060371234102003
90020,521 S NORMANDIE AVE,,Los Angeles,34.06473,-118.30059,060372118021000
90063,3449 E GLEASON AVE,,Los Angeles,34.03569,-118.19393,060372039001002
